,User,Tweet Number,Tweet Date,Compound,Positive,Neutral,Negative
168,@CBSNews,69,Mon Jan 29 13:42:01 +0000 2018,0.3818,0.148,0.852,0
169,@CBSNews,70,Mon Jan 29 13:37:19 +0000 2018,0,0,1,0
170,@CBSNews,71,Mon Jan 29 13:34:58 +0000 2018,0,0,1,0
171,@CBSNews,72,Mon Jan 29 13:34:16 +0000 2018,0,0,1,0
172,@CBSNews,73,Mon Jan 29 13:22:02 +0000 2018,-0.296,0,0.879,0.121
173,@CBSNews,74,Mon Jan 29 13:21:42 +0000 2018,-0.6597,0,0.735,0.265
174,@CBSNews,75,Mon Jan 29 13:11:02 +0000 2018,0.0772,0.145,0.723,0.132
175,@CBSNews,76,Mon Jan 29 13:08:26 +0000 2018,-0.5267,0,0.784,0.216
176,@CBSNews,77,Mon Jan 29 13:06:43 +0000 2018,0,0,1,0
177,@CBSNews,78,Mon Jan 29 13:05:43 +0000 2018,0.2732,0.1,0.9,0
178,@CBSNews,79,Mon Jan 29 12:53:22 +0000 2018,0,0,1,0
179,@CBSNews,80,Mon Jan 29 12:45:56 +0000 2018,-0.7579,0,0.735,0.265
180,@CBSNews,81,Mon Jan 29 12:42:01 +0000 2018,0.2732,0.104,0.896,0
181,@CBSNews,82,Mon Jan 29 12:36:42 +0000 2018,-0.25,0.209,0.548,0.243
182,@CBSNews,83,Mon Jan 29 12:35:17 +0000 2018,-0.4767,0.08,0.76,0.16
183,@CBSNews,84,Mon Jan 29 12:22:00 +0000 2018,-0.5106,0,0.752,0.248
184,@CBSNews,85,Mon Jan 29 12:18:15 +0000 2018,-0.4588,0,0.842,0.158
185,@CBSNews,86,Mon Jan 29 12:16:15 +0000 2018,-0.8176,0,0.653,0.347
186,@CBSNews,87,Mon Jan 29 12:14:24 +0000 2018,0,0,1,0
187,@CBSNews,88,Mon Jan 29 12:13:56 +0000 2018,-0.0772,0.127,0.732,0.141
188,@CBSNews,89,Mon Jan 29 12:12:12 +0000 2018,0,0,1,0
189,@CBSNews,90,Mon Jan 29 12:08:41 +0000 2018,0.8519,0.354,0.646,0
190,@CBSNews,91,Mon Jan 29 12:05:23 +0000 2018,0.4588,0.136,0.864,0
191,@CBSNews,92,Mon Jan 29 12:02:00 +0000 2018,-0.6124,0.115,0.549,0.335
192,@CBSNews,93,Mon Jan 29 11:58:34 +0000 2018,0,0,1,0
193,@CBSNews,94,Mon Jan 29 11:42:01 +0000 2018,0.4588,0.167,0.833,0
194,@CBSNews,95,Mon Jan 29 11:22:01 +0000 2018,-0.8225,0,0.612,0.388
195,@CBSNews,96,Mon Jan 29 11:03:09 +0000 2018,0.802,0.507,0.493,0
196,@CBSNews,97,Mon Jan 29 10:48:06 +0000 2018,-0.624,0.078,0.599,0.323
197,@CBSNews,98,Mon Jan 29 10:33:04 +0000 2018,0,0,1,0
198,@CBSNews,99,Mon Jan 29 10:18:07 +0000 2018,-0.1779,0.208,0.492,0.301
199,@CBSNews,100,Mon Jan 29 10:03:05 +0000 2018,0,0,1,0
200,@CNN,1,Mon Jan 29 22:26:54 +0000 2018,0.5423,0.2,0.8,0
201,@CNN,2,Mon Jan 29 22:21:08 +0000 2018,-0.5574,0.112,0.647,0.241
202,@CNN,3,Mon Jan 29 22:19:34 +0000 2018,0,0,1,0
203,@CNN,4,Mon Jan 29 22:15:17 +0000 2018,0.5574,0.242,0.667,0.092
204,@CNN,5,Mon Jan 29 22:11:10 +0000 2018,0.4019,0.124,0.876,0
205,@CNN,6,Mon Jan 29 22:07:18 +0000 2018,0.4404,0.132,0.868,0
206,@CNN,7,Mon Jan 29 22:05:21 +0000 2018,0,0,1,0
207,@CNN,8,Mon Jan 29 21:55:52 +0000 2018,-0.5423,0,0.829,0.171
208,@CNN,9,Mon Jan 29 21:53:44 +0000 2018,0,0,1,0
209,@CNN,10,Mon Jan 29 21:47:00 +0000 2018,0.0258,0.127,0.751,0.122
210,@CNN,11,Mon Jan 29 21:36:27 +0000 2018,0,0,1,0
211,@CNN,12,Mon Jan 29 21:24:02 +0000 2018,0,0,1,0
212,@CNN,13,Mon Jan 29 21:19:00 +0000 2018,0.4588,0.167,0.833,0
213,@CNN,14,Mon Jan 29 21:04:30 +0000 2018,0,0,1,0
214,@CNN,15,Mon Jan 29 21:00:13 +0000 2018,0,0,1,0
215,@CNN,16,Mon Jan 29 20:52:34 +0000 2018,0,0,1,0
216,@CNN,17,Mon Jan 29 20:42:44 +0000 2018,-0.1531,0,0.922,0.078
217,@CNN,18,Mon Jan 29 20:39:53 +0000 2018,0,0,1,0
218,@CNN,19,Mon Jan 29 20:26:43 +0000 2018,0.4404,0.127,0.873,0
219,@CNN,20,Mon Jan 29 20:21:20 +0000 2018,-0.3597,0,0.889,0.111
220,@CNN,21,Mon Jan 29 22:26:54 +0000 2018,0.5423,0.2,0.8,0
221,@CNN,22,Mon Jan 29 22:21:08 +0000 2018,-0.5574,0.112,0.647,0.241
222,@CNN,23,Mon Jan 29 22:19:34 +0000 2018,0,0,1,0
223,@CNN,24,Mon Jan 29 22:15:17 +0000 2018,0.5574,0.242,0.667,0.092
224,@CNN,25,Mon Jan 29 22:11:10 +0000 2018,0.4019,0.124,0.876,0
225,@CNN,26,Mon Jan 29 22:07:18 +0000 2018,0.4404,0.132,0.868,0
226,@CNN,27,Mon Jan 29 22:05:21 +0000 2018,0,0,1,0
227,@CNN,28,Mon Jan 29 21:55:52 +0000 2018,-0.5423,0,0.829,0.171
228,@CNN,29,Mon Jan 29 21:53:44 +0000 2018,0,0,1,0
229,@CNN,30,Mon Jan 29 21:47:00 +0000 2018,0.0258,0.127,0.751,0.122
230,@CNN,31,Mon Jan 29 21:36:27 +0000 2018,0,0,1,0
231,@CNN,32,Mon Jan 29 21:24:02 +0000 2018,0,0,1,0
232,@CNN,33,Mon Jan 29 21:19:00 +0000 2018,0.4588,0.167,0.833,0
233,@CNN,34,Mon Jan 29 21:04:30 +0000 2018,0,0,1,0
234,@CNN,35,Mon Jan 29 21:00:13 +0000 2018,0,0,1,0
235,@CNN,36,Mon Jan 29 20:52:34 +0000 2018,0,0,1,0
236,@CNN,37,Mon Jan 29 20:42:44 +0000 2018,-0.1531,0,0.922,0.078
237,@CNN,38,Mon Jan 29 20:39:53 +0000 2018,0,0,1,0
238,@CNN,39,Mon Jan 29 20:26:43 +0000 2018,0.4404,0.127,0.873,0
239,@CNN,40,Mon Jan 29 20:21:20 +0000 2018,-0.3597,0,0.889,0.111
240,@CNN,41,Mon Jan 29 20:15:22 +0000 2018,0,0,1,0
241,@CNN,42,Mon Jan 29 20:11:21 +0000 2018,0.6369,0.259,0.741,0
242,@CNN,43,Mon Jan 29 20:03:33 +0000 2018,0.3182,0.153,0.765,0.082
243,@CNN,44,Mon Jan 29 19:48:39 +0000 2018,0,0,1,0
244,@CNN,45,Mon Jan 29 19:31:15 +0000 2018,0.0258,0.102,0.8,0.098
245,@CNN,46,Mon Jan 29 19:31:08 +0000 2018,0,0,1,0
246,@CNN,47,Mon Jan 29 19:30:12 +0000 2018,-0.0772,0.119,0.749,0.132
247,@CNN,48,Mon Jan 29 19:20:10 +0000 2018,0.0258,0.14,0.725,0.135
248,@CNN,49,Mon Jan 29 19:14:32 +0000 2018,-0.6124,0,0.8,0.2
249,@CNN,50,Mon Jan 29 19:11:37 +0000 2018,0,0,1,0
250,@CNN,51,Mon Jan 29 19:01:59 +0000 2018,0,0,1,0
251,@CNN,52,Mon Jan 29 18:52:54 +0000 2018,0,0,1,0
252,@CNN,53,Mon Jan 29 18:51:01 +0000 2018,0,0,1,0
253,@CNN,54,Mon Jan 29 18:36:27 +0000 2018,-0.0258,0.121,0.755,0.125
254,@CNN,55,Mon Jan 29 18:34:10 +0000 2018,0,0,1,0
255,@CNN,56,Mon Jan 29 18:31:55 +0000 2018,-0.3612,0,0.8,0.2
256,@CNN,57,Mon Jan 29 18:21:10 +0000 2018,0.34,0.256,0.625,0.119
257,@CNN,58,Mon Jan 29 18:15:02 +0000 2018,-0.8442,0,0.687,0.313
258,@CNN,59,Mon Jan 29 17:59:07 +0000 2018,-0.0423,0.088,0.818,0.095
259,@CNN,60,Mon Jan 29 17:49:05 +0000 2018,0.4767,0.14,0.86,0
260,@CNN,61,Mon Jan 29 17:42:05 +0000 2018,-0.4767,0,0.807,0.193
261,@CNN,62,Mon Jan 29 17:33:07 +0000 2018,0,0,1,0
262,@CNN,63,Mon Jan 29 17:21:01 +0000 2018,-0.4767,0,0.785,0.215
263,@CNN,64,Mon Jan 29 17:10:53 +0000 2018,0.784,0.33,0.67,0
264,@CNN,65,Mon Jan 29 17:02:09 +0000 2018,0.4019,0.13,0.87,0
265,@CNN,66,Mon Jan 29 17:00:09 +0000 2018,-0.0772,0,0.936,0.064
266,@CNN,67,Mon Jan 29 16:50:14 +0000 2018,0.7906,0.269,0.731,0
267,@CNN,68,Mon Jan 29 16:44:32 +0000 2018,0.296,0.109,0.891,0
268,@CNN,69,Mon Jan 29 16:40:58 +0000 2018,-0.0423,0.101,0.791,0.109
269,@CNN,70,Mon Jan 29 16:30:20 +0000 2018,0,0,1,0
270,@CNN,71,Mon Jan 29 16:20:08 +0000 2018,-0.5574,0,0.841,0.159
271,@CNN,72,Mon Jan 29 16:10:13 +0000 2018,0.631,0.206,0.794,0
272,@CNN,73,Mon Jan 29 16:06:53 +0000 2018,0.4767,0.177,0.823,0
273,@CNN,74,Mon Jan 29 16:00:38 +0000 2018,-0.296,0,0.784,0.216
274,@CNN,75,Mon Jan 29 15:53:16 +0000 2018,0,0,1,0
275,@CNN,76,Mon Jan 29 15:50:14 +0000 2018,0,0,1,0
276,@CNN,77,Mon Jan 29 15:46:01 +0000 2018,0,0,1,0
277,@CNN,78,Mon Jan 29 15:40:19 +0000 2018,0.3818,0.126,0.874,0
278,@CNN,79,Mon Jan 29 15:30:08 +0000 2018,0,0,1,0
279,@CNN,80,Mon Jan 29 15:26:00 +0000 2018,-0.6786,0,0.763,0.237
280,@CNN,81,Mon Jan 29 15:20:13 +0000 2018,0,0,1,0
281,@CNN,82,Mon Jan 29 15:10:09 +0000 2018,0.4767,0.147,0.853,0
282,@CNN,83,Mon Jan 29 15:00:18 +0000 2018,0,0,1,0
283,@CNN,84,Mon Jan 29 14:50:03 +0000 2018,0.3612,0.163,0.837,0
284,@CNN,85,Mon Jan 29 14:40:10 +0000 2018,0,0,1,0
285,@CNN,86,Mon Jan 29 14:30:13 +0000 2018,0.1027,0.101,0.82,0.079
286,@CNN,87,Mon Jan 29 14:20:14 +0000 2018,-0.1027,0.136,0.707,0.157
287,@CNN,88,Mon Jan 29 14:09:05 +0000 2018,-0.6705,0,0.78,0.22
288,@CNN,89,Mon Jan 29 14:01:28 +0000 2018,0.1027,0.184,0.658,0.158
289,@CNN,90,Mon Jan 29 13:45:06 +0000 2018,-0.8176,0,0.706,0.294
290,@CNN,91,Mon Jan 29 13:35:02 +0000 2018,-0.4767,0,0.785,0.215
291,@CNN,92,Mon Jan 29 13:25:28 +0000 2018,0.25,0.111,0.889,0
292,@CNN,93,Mon Jan 29 13:24:50 +0000 2018,0,0,1,0
293,@CNN,94,Mon Jan 29 13:10:00 +0000 2018,0.128,0.124,0.772,0.104
294,@CNN,95,Mon Jan 29 13:05:04 +0000 2018,-0.3818,0,0.833,0.167
